Id,LogPriceMo,m0_explicit_mean_oof_prediction,m0_explicit_mean_absolute_error,text_baseline_k12_mean_oof_prediction,text_baseline_k12_mean_absolute_error,m1_incremental_k6_mean_oof_prediction,m1_incremental_k6_mean_absolute_error,m1_incremental_k12_mean_oof_prediction,m1_incremental_k12_mean_absolute_error,m1_incremental_k18_mean_oof_prediction,m1_incremental_k18_mean_absolute_error,m1_incremental_k24_mean_oof_prediction,m1_incremental_k24_mean_absolute_error
119,1.6901960800285136,3.159974684982001,1.4697786049534873,3.1606142660207324,1.470418185992218,3.160614266020732,1.470418185992218,3.132529404368128,1.4423333243396146,3.1325294043681287,1.4423333243396146,3.153344425220968,1.4631483451924543
125,3.6989700043360174,3.1079154708324768,0.5910545335035404,3.0877569704563887,0.6112130338796286,3.0877569704563887,0.6112130338796286,3.0877569704563887,0.6112130338796286,3.1168867138067737,0.5820832905292437,3.1010794833129696,0.5978905210230474
132,1.0,1.0335432392640989,0.03354323926409873,1.0122038764506915,0.012203876450691464,1.0220270766833972,0.02202707668339704,1.0223863446697787,0.02238634466977866,1.0226392842206093,0.022639284220609512,1.0562931790609256,0.0562931790609255
138,1.0,1.0335554290741826,0.03355542907418226,1.0124535773274899,0.012453577327489751,1.0120200528178143,0.012020052817813986,1.009453736746104,0.00945373674610388,1.0412003471425015,0.04120034714250152,1.0585354804117384,0.058535480411738464
148,3.1638568026386698,3.567693672981688,0.4464267242182463,3.495383925598002,0.3598876613744619,3.495383925598002,0.3598876613744619,3.534484561290794,0.3914079004104416,3.5623630547395053,0.4041656115972291,3.5386527832145136,0.409159360962483
151,3.9208187539523753,3.604929403928149,0.31901410027840627,3.377170861717134,0.5467726424894213,3.3771708617171337,0.5467726424894215,3.3581767032334158,0.5626420507189601,3.3708227871815133,0.5499959667708615,3.3917843811113335,0.5290343728410416
157,3.3010299956639813,3.27284395357405,0.1583960390489003,3.2425298843095325,0.1496141176411156,3.2437800590796613,0.1508642924112436,3.243406284242391,0.1512380672485137,3.2473518426362338,0.1447945500075813,3.2473518426362338,0.1447945500075814
165,4.397070549959409,3.815898510566339,0.5811720393930704,3.9980148142408405,0.39905573571856856,3.9934332054233606,0.40363734453604855,3.9806409715327247,0.4164295784266846,3.9806409715327242,0.4164295784266846,3.9795741412881354,0.41749640867127413
171,2.762803558542489,3.6669791415360633,0.9041755829935754,3.543647909732845,0.7808443511903567,3.5226705377748586,0.7598669792323703,3.614987201692018,0.8521836431495293,3.6373856719260464,0.8745821133835584,3.642601643398912,0.8797980848564236
172,3.397940008672037,3.3013953690790645,0.19896295637341496,3.3622485914499727,0.18444488120006,3.374086380968399,0.18679795176996883,3.3784418367226414,0.19977671599045727,3.3703050127458427,0.20524256040303596,3.3478232269738877,0.1732760556825638
176,1.0,1.0289514509598519,0.02895145095985203,1.018114979106876,0.01811497910687595,1.0091335164923676,0.009133516492367644,1.0051705639945532,0.0051705639945530905,1.004070307268429,0.004070307268428974,1.00436933956904,0.004369339569040109
177,2.0293837776852097,2.1589820210885073,0.12959824340329754,1.9839856913400393,0.05536658381830408,1.9839856913400393,0.05536658381830406,1.9839856913400393,0.05536658381830408,1.9839856913400393,0.05536658381830408,1.9839856913400393,0.0553665838183041
180,2.330413773349191,2.370268629796727,0.03985485644753621,2.353897643649998,0.034776311534180926,2.353897643649998,0.03477631153418095,2.353897643649998,0.03477631153418095,2.3506767117129073,0.037997243471271404,2.3506767117129073,0.037997243471271425
190,3.765916793966632,3.5996882318096417,0.2986592951185921,3.5946230667257533,0.323083984289139,3.5946230667257533,0.323083984289139,3.5295174693278057,0.33074797590426996,3.514961950399738,0.3453034948323378,3.514961950399738,0.3453034948323379
195,1.0,1.0328752940252248,0.03287529402522499,1.0166885478466783,0.016688547846678326,1.0094590605228457,0.009459060522845763,1.0052858363632384,0.0052858363632383495,1.0049471905964633,0.004947190596463313,1.0051574342489338,0.005157434248934045
199,3.3273589343863303,3.5892469054445244,0.37724018774332346,3.8963321101453516,0.5998096651464715,3.8963321101453516,0.5998096651464716,3.8712496347875325,0.5747271897886526,3.8712496347875325,0.5747271897886526,3.8712496347875325,0.5747271897886526
200,2.3483048630481607,2.1558607980753712,0.19244406497278926,2.352009683861725,0.009504062920154932,2.352009683861725,0.009504062920154977,2.351368064485738,0.01014568229614179,2.3533250134122143,0.012102631222618431,2.353325013412215,0.012102631222618454
207,4.096910013008056,3.63481653893947,0.46209347406858586,3.839850510361257,0.27769952026991285,3.8406869350163384,0.27686309561483213,3.8364016237014,0.2811484069297704,3.8364016237014,0.2811484069297703,3.8364016237013994,0.2811484069297703
210,2.619788758288394,2.6974249120155482,0.1017639007111519,2.6974249120155482,0.10176390071115182,2.6974249120155482,0.10176390071115186,2.6974249120155482,0.10176390071115196,2.6974249120155482,0.10176390071115185,2.6974249120155482,0.1017639007111519
218,2.619788758288394,3.020905702550384,0.4011169442619898,3.0325462295786307,0.4127574712902364,3.0325462295786307,0.4127574712902364,3.039466219979354,0.41967746169096004,3.039466219979354,0.41967746169096004,3.039466219979354,0.41967746169096004
225,3.0,2.776512342659794,0.3384113451818326,2.7641164586411535,0.368052836261316,2.804201737241655,0.36937651208530453,2.804201737241655,0.36937651208530464,2.7934707125437948,0.3881072504834053,2.7814416891033646,0.4001362739238353
227,2.619788758288394,2.6899688673688784,0.12264325092655955,2.6649549196992863,0.10802605459950472,2.6649549196992863,0.10802605459950473,2.648943481136697,0.11237834072824923,2.648943481136697,0.11237834072824915,2.661144040324794,0.10421517522501218
237,3.08218675618735,3.3560101880148245,0.2789957324822227,3.450592859873315,0.37394314504589593,3.450592859873315,0.37394314504589576,3.4799225413693167,0.40327282654189656,3.479922541369316,0.40327282654189656,3.499951690305623,0.42330197547820314
238,1.0,1.034137530012343,0.034137530012342744,1.0153384834754473,0.015338483475447084,1.0134172516532114,0.013417251653211537,1.0114017580076464,0.011401758007646413,1.0061021438320592,0.00610214383205927,1.0042992619263322,0.004299261926332299
246,2.397940008672037,3.3210554587585195,0.9231154500864823,3.2749876348098774,0.8770476261378406,3.2749876348098774,0.8770476261378404,3.274509326566951,0.8765693178949142,3.2793328237521857,0.8813928150801484,3.2793328237521857,0.8813928150801484
247,3.9542425094393248,3.037283986794684,0.9169585226446412,3.0999736855441284,0.8542688238951964,3.089662340989501,0.864580168449824,3.0644223356677327,0.8898201737715923,3.0604022111105946,0.8938402983287304,3.0604022111105946,0.8938402983287306
260,2.619788758288394,2.7096388926238295,0.16232848201209021,2.681496816723622,0.12894448985974521,2.681496816723622,0.1289444898597452,2.69638094063902,0.13988258283410698,2.6955990764447053,0.1391007186397918,2.6955990764447053,0.13910071863979176
265,3.694605198933569,3.625409661601997,0.10116678049317371,3.629637286360225,0.09373901529289905,3.597790070211714,0.11607213563388455,3.5880639811493786,0.1218963605112388,3.5880639811493786,0.12189636051123871,3.5880639811493786,0.12189636051123869
276,1.0,1.0342137981065402,0.03421379810654036,1.0105801459851746,0.010580145985174826,1.0060140744639452,0.006014074463945074,1.0030447028455787,0.0030447028455787505,1.003416892445392,0.00341689244539205,1.003315592291353,0.003315592291353242
278,2.330413773349191,2.374223087728269,0.043809314379077736,2.369380661170376,0.04116964631017974,2.369380661170376,0.04116964631017974,2.369380661170376,0.04116964631017979,2.3674945385400012,0.03928352367980494,2.3674945385400012,0.03928352367980496
281,1.0,1.030233071902324,0.030233071902324084,1.01829225926299,0.018292259262990107,1.0365647486594636,0.0365647486594638,1.0744942704151534,0.07449427041515375,1.1057488373918485,0.10574883739184852,1.122230907556893,0.12223090755689303
285,2.330413773349191,2.3662544999289343,0.03584072657974302,2.3543662824646314,0.033722082919547994,2.3543662824646314,0.033722082919547966,2.3539692040161313,0.033325004471048025,2.347222052611683,0.04007215587549615,2.347222052611683,0.040072155875496174
295,4.397070549959409,3.613150907339876,0.783919642619533,3.5834453438491174,0.8136252061102912,3.5393753436099025,0.8576952063495062,3.535555394947175,0.8615151550122343,3.535555394947175,0.8615151550122342,3.51530037873673,0.8817701712226791
299,4.397070549959409,4.012572149003409,0.3844984009560003,4.132452752903394,0.2646177970560154,4.165433870217095,0.23163667974231422,4.169459568129485,0.22761098182992465,4.1628460605773245,0.23422448938208462,4.158798633457859,0.23827191650155083
300,3.3010299956639813,3.309243015917044,0.14421541495305407,3.3003803563858787,0.14406672499312126,3.3003803563858787,0.1440667249931213,3.3101929275830537,0.12470958940796895,3.3212888895803823,0.11361362741064049,3.3218062263128267,0.11310977084588832
